setname,name,region,version,alternative,parent_title,platform,series,homebrew,bootleg,year,manufacturer,category,linebreak1,rotation,flip,resolution,linebreak2,players,joystick,special_controls,buttons,linebreak3
skyskipr,Sky Skipper,,,no,,,,no,no,1981,Nintendo,Arena,,horizontal,,15kHz,,2 (alternating),8-way,,2,
slapshtr,Slap Shooter,,,no,,Sega System E,,no,no,1986,Sega,Sports,,horizontal,,15kHz,,1,8-way,,2,
snapjack,Snap Jack,,,no,,,,no,no,1982,Universal,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,0,
koroleva,Snezhnaja Koroleva,,,no,,TIAMC1,,no,no,1988,Terminal,Maze,,horizontal,,15kHz,,1,4-way,,1,
snowpac,Snowy Day Pac-Man [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,T-Bone,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
solarfox,Solar Fox,,,no,,Midway MCR1,,no,no,1980,Bally / Midway,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
solomonjs01,"Solomon no Kagi (CH, Chinese) [hb]",China,Chinese,yes,Solomon's Key,,,yes,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
solomonj,Solomon no Kagi (JP),Japan,,yes,Solomon's Key,,,no,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
solomonj,Solomon no Kagi (JP),Japan,,yes,Solomon's Key,,,no,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
solomon,Solomon's Key,,,no,,,,no,no,1986,Tecmo,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spacbatt,Space Battle (Set 1) [bl],,Set 1,yes,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
spacbat2,Space Battle (Set 2) [bl],,Set 2,yes,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
schaser,Space Chaser,,,no,,,,no,no,1979,Taito,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
spacempr,Space Empire [bl],,,yes,UniWar S,,,no,yes,1980,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
spcenctr,Space Encounters,,,no,,,,no,no,1980,Midway,Shooter - Vertical,,horizontal,,15kHz,,1,,positional,1,
invaders,Space Invaders,,,no,,,Space Invaders,no,no,1978,Taito,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
,Space Invaders - Space Invaders M,,,no,,,,,,,,,,,,,,,,,,
invad2ct,"Space Invaders Part II (Midway, Cocktail)",,"Midway, Cocktail",yes,Space Invaders,,Space Invaders,no,no,1980,Midway,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
invadpt2,"Space Invaders Part II (Taito, Bigger ROMs)",,"Taito, Bigger ROMs",yes,Space Invaders,,Space Invaders,no,no,1979,Taito,Shooter - Gallery,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
spaceplt,Space Pilot,,,yes,Time Pilot,,,no,no,1982,,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
,Space Race,,,no,,,,no,no,1973,Atari,Racing,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,,0,
spcrocks,"Space Rocks (Asteroids, Spanish) [bl]",,"Asteroids, Spanish",yes,Asteroids,,,no,yes,1981,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
spacezap,Space Zap,,,no,,,,no,no,1980,Midway,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),4-way,,1,
spartanx,Spartan X (JP),Japan,,yes,Kung-Fu Master,Irem M62,,no,no,1984,Irem,Beat 'em Up,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spatter,Spatter (315-5xxx),,315-5xxx,no,,Sega System 1,,no,no,1984,Sega,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spatter,Spatter (US) (315-5xxx),US,315-5xxx,yes,Spatter,Sega System 1,,no,no,1984,Sega,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spdcoin,Speed Coin,,,no,,,,no,no,1984,Stern,Puzzle,,vertical (cw),yes,15kHz,,1,2-way horizontal,,0,
spelunkr,Spelunker,,,no,,Irem M62,,no,no,1985,Irem,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spelunkrj,Spelunker (JP),Japan,,yes,Spelunker,Irem M62,,no,no,1985,Irem / Broderbund,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
spelunk2,Spelunker II - 23 no Kagi (JP),Japan,,no,,Irem M62,,no,no,1986,Irem,Platform - Climb,,horizontal,,15kHz,,2 (alternating),8-way,,2,
splat,Splat!,,,no,,,,no,no,1982,Williams,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,twin stick,4,
spatrol,Sponge Patrol [hb],,,yes,Moon Patrol,Irem M52,,yes,no,1982,Irem,Shooter - Horizontal,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
sprint1,Sprint 1,,,no,,,Sprint,no,no,1978,Atari,Racing,,horizontal,,15kHz,,1,2-way horizontal,,3,
sprint2,Sprint 2,,,no,,,Sprint,no,no,1976,Atari,Racing,,horizontal,,15kHz,,2 (simultaneous),2-way horizontal,,3,
sprint2a,Sprint 2 (Set 2),,Set 2,yes,Sprint 2,,Sprint,no,no,1976,Atari,Racing,,horizontal,,15kHz,,2 (simultaneous),2-way horizontal,,3,
spyhunt,Spy Hunter,,,no,,Midway MCR3,,no,no,1983,Bally,Shooter - Vertical,,vertical (cw),no,15kHz,,1,,paddle / pedal,1,
spyhuntp,Spy Hunter (Playtronic),,Playtronic,yes,Spy Hunter,Midway MCR3,,no,no,1983,Bally / Midway / Playtronic,Shooter - Vertical,,vertical (cw),no,15kHz,,1,8-way,,5,
squaitsa,Squash (Itisa),,Itisa,no,,,,no,no,1984,Itisa,Sports,,horizontal,,15kHz,,2 (simultaneous),4-way,,1,
starfght,Star Fighter,,,yes,Galaxian,,,no,no,1979,Jeutel,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
stargrds,Star Guards,,,no,,Midway MCR3,,no,no,1987,Bally / Midway,Shooter - Multidirectional,,horizontal,,15kHz,,3,8-way,twin stick,4,
starjacks,Star Jacker (Alt),,Alt,yes,Star Jacker,Sega System 1,,no,no,1983,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
starjack,Star Jacker (Japan) [No Protection],Japan,Alt,yes,Star Jacker,Sega System 1,,no,no,1983,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
starjack,Star Jacker (Sega),,Sega,no,,Sega System 1,,no,no,1983,Sega,Shooter - Vertical,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,2,
starfgh2,Starfighter II [hb],,,yes,Pisces,,,yes,no,1982,,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
stargate,Stargate,,,no,,,,no,no,1981,Williams / Vid Kidz,Shooter - Horizontal,,horizontal,,15kHz,,1,2-way horizontal,,4,
starslayer,Starslayer (Asteroids) [hb],,Asteroids,yes,Asteroids,,,yes,no,1979,Atari,Shooter - Multidirectional,,horizontal,,31kHz,,1,2-way horizontal,,3,
stratgyx,Strategy X,,,no,,,,no,no,1981,Konami,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,3,
stratgys,Strategy X (Stern),,Stern,yes,Strategy X,,,no,no,1981,Konami / Stern,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,3,
strongx,Strong X,,,yes,Strategy X,,,no,no,1982,,Shooter - Multidirectional,,horizontal,,15kHz,,2 (alternating),8-way,,3,
sumeltob,Summertime Elton (Old) [hb],,Old,yes,Pac-Man,,,yes,no,1980,Staizitto,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
sumelton,Summertime Elton [hb],,,yes,Pac-Man,,,yes,no,1980,Staizitto,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
sbagman,Super Bagman,,,no,,,,no,no,1984,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
sbagmans,Super Bagman (Stern),,Stern,yes,Super Bagman,,,no,no,1984,Valadon Automation / Stern,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
sbagman2,Super Bagman (Ver 3),,Ver 3,yes,Super Bagman,,,no,no,1984,Valadon Automation,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
sbrkoutct,"Super Breakout (Cocktail, Prototype)",,"Cocktail, Prototype",yes,Super Breakout,,Breakout,no,no,1978,Atari,Ball and Paddle,,vertical (ccw),no,15kHz,,1,,spinner,1,
sbrkout,Super Breakout (Rev 04),,Rev 04,no,,,Breakout,no,no,1978,Atari,Ball and Paddle,,vertical (ccw),no,15kHz,,1,,spinner,1,
scobra,Super Cobra,,,no,,,Scramble,no,no,1981,Konami,Shooter - Horizontal,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
scobrase,Super Cobra (Sega),,Sega,yes,Super Cobra,,Scramble,no,no,1981,Konami / Sega,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
scobraggi,Super Cobra (Set 3) [bl],,Set 3,yes,Super Cobra,,Scramble,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
scobras,Super Cobra (Stern),,Stern,yes,Super Cobra,,Scramble,no,no,1981,Konami / Stern,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
scobrag,Super Cobra [bl],,,yes,Super Cobra,,Scramble,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
sprglobpg,Super Glob [bl],,,no,,,,no,yes,1984,,Platform - Climb,,vertical (cw),no,15kHz,,2 (alternating),4-way,,2,
suprheli,Super Heli (Super Cobra bootleg) (Super Cobra) [bl],,Super Cobra,yes,Super Cobra,,,no,yes,1981,Konami,Shooter - Horizontal,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
superpac,Super Pac-Man,,,no,,,,no,no,1982,Namco,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
szaxxon,Super Zaxxon,,,no,,,,no,no,1982,Sega/Gremlin,Shooter - Isometric,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,1,
superdog,Superdog [hb],,,yes,Scramble,,,yes,no,1981,Jerky,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
swarm,Swarm [bl],,,yes,Galaxian,,,no,yes,1979,Subelectro,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
swat,SWAT (315-5048),,315-5048,no,,Sega System 1,,no,no,1984,Sega,Shooter - Multidirectional,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,2,
swat,SWAT (Japan) [315-5048],Japan,315-5048,yes,SWAT,Sega System 1,,no,no,1984,Sega,Shooter - Multidirectional,,vertical (ccw),no,15kHz,,2 (alternating),4-way,,2,
tappera,"Tapper (Budweiser, 831209)",,"Budweiser, 831209",yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
tapperg,"Tapper (Budweiser, 840127, Alt. GFX)",,"Budweiser, 840127, Alt. GFX",yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
tapper,"Tapper (Budweiser, 840127)",,"Budweiser, 840127",no,,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
tapperb,Tapper (Budweiser),,Budweiser,yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
rbtapper,Tapper (Root Beer),,Root Beer,yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
stapper1,"Tapper (Simpsons, v81)",,"Simpsons, v81",yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
stapper,Tapper (Simpsons),,Simpsons,yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
sutapper,Tapper (Suntory),,Suntory,yes,Tapper,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,1,
tazmania,Tazz-Mania (Set 1),,Set 1,no,,,,no,no,1982,Stern,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (alternating),8-way,,2,
teddybb,"TeddyBoy Blues (315-5115, New Ver)",,"315-5115, New Ver",no,,Sega System 1,,no,no,1985,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
teddybb,"TeddyBoy Blues (Japan, New Ver.) [315-5115]",Japan,"315-5115, New Ver",yes,Teddyboy Blues,Sega System 1,,no,no,1985,Sega,Platform,,horizontal,,15kHz,,2 (alternating),8-way,,2,
atetris,Tetris,,,no,,,Tetris,no,no,1988,Atari,Puzzle,,vertical (ccw),no,15kHz,,2 (simultaneous),4-way,,1,
atetrisc,"Tetris (Cocktail, Set 1)",,"Cocktail, Set 1",yes,Tetris,,Tetris,no,no,1989,Atari,Puzzle,,vertical (ccw),no,15kHz,,2 (simultaneous),4-way,,1,
atetrisc,"Tetris (Cocktail, Set 1)",,"Cocktail, Set 1",yes,Tetris,,Tetris,no,no,1989,Atari,Puzzle,,vertical (ccw),no,15kHz,,2 (simultaneous),4-way,,1,
atetrisc2,"Tetris (Cocktail, Set 2)",,"Cocktail, Set 2",yes,Tetris,,Tetris,no,no,1989,Atari,Puzzle,,vertical (ccw),no,15kHz,,2 (simultaneous),4-way,,1,
tetrisse,"Tetris (Japan, System E)",Japan,System E,no,,Sega System E,,no,no,1988,Sega,Puzzle,,horizontal,,15kHz,,2 (simultaneous),8-way,,2,
atetrisb,Tetris (Set 1) [bl],,Set 1,yes,Tetris,,Tetris,no,yes,1988,Atari,Puzzle,,vertical (ccw),no,15kHz,,2 (simultaneous),4-way,,1,
atetrisa,Tetris (Set 2),,Set 2,yes,Tetris,,Tetris,no,no,1988,Atari,Puzzle,,vertical (ccw),no,15kHz,,2 (simultaneous),4-way,,1,
robby,The Adventures of Robby Roto!,,,no,,,,no,no,1981,Dave Nutting Associates / Bally / Midway,Maze,,horizontal,,15kHz,,2 (alternating),4-way,,1,
battroad,The Battle-Road,,,no,,Irem M62,,no,no,1984,Irem,Shooter - Vertical,,vertical (cw),broken,15kHz,,2 (alternating),8-way,,2,
theend,The End,,,no,,,,no,no,1980,Konami,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
theend,The End (BKG),,BKG,no,,,,no,no,1980,Konami,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
theends,The End (Stern),,Stern,yes,The End,,,no,no,1980,Konami / Stern,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
theglobp,The Glob (Pac-Man Hardware),,Pac-Man Hardware,no,,,,no,no,1983,Epos Corporation,Platform - Climb,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,2,
todruaga,The Tower of Druaga,,,no,,,,no,no,1984,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
todruagao,The Tower of Druaga (Old Ver),,Old Ver,yes,The Tower of Druaga,,,no,no,1984,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
todruagas,The Tower of Druaga (Sidam) [bl],,Sidam,yes,The Tower of Druaga,,,no,yes,1984,Namco,Maze,,vertical (cw),no,15kHz,,2 (alternating),4-way,,1,
timber,Timber,,,no,,Midway MCR3,,no,no,1983,Bally / Midway,Action,,horizontal,,15kHz,,2 (alternating),4-way,,2,
timeplt,Time Pilot,,,no,,,Time Pilot,no,no,1982,Konami,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tp84,Time Pilot '84 (Set 1),,Set 1,no,,,Time Pilot,no,no,1984,Konami,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
tp84a,Time Pilot '84 (Set 2),,Set 2,no,,,Time Pilot,no,no,1984,Konami,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
tp84b,Time Pilot '84 (Set 3),,Set 3,no,,,Time Pilot,no,no,1984,Konami,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,2,
timeplta,Time Pilot (Atari),,Atari,yes,Time Pilot,,Time Pilot,no,no,1982,Konami / Atari,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
timepltc,Time Pilot (Centuri),,Centuri,yes,Time Pilot,,Time Pilot,no,no,1982,Konami / Centuri,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tokisensa,Toki no Senshi - Chrono Soldier (prototype),,"MC-8123, 317-0040",yes,Toki no Senshi - Chrono Soldier,Sega System 1,,no,no,1987,Sega,Shooter - Multidirectional,,vertical (cw),,15kHz,,1,8-way,,2,
tokisens,"Toki no Senshi - Chrono Soldier [MC-8123, 317-0040]",,"MC-8123, 317-0040",no,,Sega System 1,,no,no,1987,Sega,Shooter - Multidirectional,,vertical (cw),,15kHz,,1,8-way,,2,
jackalj,Tokushu Butai Jackal (JP),Japan,,yes,Jackal,,,no,no,1986,Konami,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,2,
topgunr,Top Gunner (US),USA,,yes,Jackal,,,no,no,1986,Konami,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,2,
topgunbl,Top Gunner (US) [bl],USA,,yes,Jackal,,,no,yes,1986,Konami,Shooter - Multidirectional,,vertical (cw),yes,15kHz,,2 (simultaneous),8-way,,2,
transfrm,Transformer,,,yes,Astro Flash,Sega System E,,no,no,1986,Sega,Shooter - Horizontal,,horizontal,,15kHz,,1,8-way,,2,
travrusab,"Traverse (US, bootleg)",USA,bootleg,yes,Traverse USA,,,no,no,1983,Irem / Broderbund,Racing,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,2,
travrusa,Traverse USA- Zippy Race (US),USA,,no,,Irem M52,,no,no,1983,Irem,Racing,,vertical (ccw),yes,15kHz,,2 (alternating),2-way horizontal,,2,
tron,Tron,,,no,,Midway MCR2,Tron,no,no,1982,Bally / Midway,Shooter - Multidirectional,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tronger,Tron (DE),Germany,,yes,Tron,Midway MCR,Tron,no,no,1982,Bally / Midway,Arena,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tron5,Tron (Ver 5-12),,Ver 5-12,yes,Tron,Midway MCR,Tron,no,no,1982,Bally / Midway,Arena,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tron4,Tron (Ver 6-15),,Ver 6-15,yes,Tron,Midway MCR,Tron,no,no,1982,Bally / Midway,Arena,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tron3,Tron (Ver 6-17),,Ver 6-17,yes,Tron,Midway MCR,Tron,no,no,1982,Bally / Midway,Arena,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
tron2,Tron (Ver 6-25),,Ver 6-25,yes,Tron,Midway MCR,Tron,no,no,1982,Bally / Midway,Arena,,vertical (cw),no,15kHz,,2 (alternating),8-way,,1,
trukker,Trukker [hb],,,yes,Frogger,,,yes,no,1981,Grimlick,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
turbotag,Turbo Tag (Prototype),,Prototype,no,,Midway MCR3,,no,no,1985,Bally,Arena,,vertical (cw),no,15kHz,,1,,trackball,4,
turtles,Turtles,,,no,,,,no,no,1981,Konami,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,1,
twotigerc,Two Tigers (Tron Conversion),,Tron Conversion,no,,Midway MCR2,,no,no,1984,Bally / Midway,Shooter - Gallery,,horizontal,,15kHz,,2 (alternating),2-way horizontal,,2,
vball,U.S. Championship V'ball (US),USA,,no,,,,no,no,1988,Technos,Sports,,horizontal,,15kHz,,4,8-way,,2,
vballb,U.S. Championship V'ball (US) [bl],USA,,no,,,,no,yes,1988,Technos,Sports,,horizontal,,15kHz,,4,8-way,,2,
ufosensib,UFO Senshi Youko Chan [bootleg],,,yes,UFO Senshi Youko Chan,Sega System 1,,no,yes,1988,Sega,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ufosensib,"UFO Senshi Youko Chan [MC-8123, 317-0064]",World,"MC-8123, 317-0064",yes,UFO Senshi Youko Chan,Sega System 1,,no,no,1988,Sega,Maze,,horizontal,,15kHz,,2 (alternating),8-way,,2,
ultra2,Ultra Pac-Man [hb],,,yes,Pac-Man,,Pac-Man,yes,no,1980,TwoBit Score,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
ultratnk,Ultra Tank,,,no,,,,no,no,1978,Atari,Shooter - Multidirectional,,horizontal,,15kHz,,2 (simultaneous),2-way vertical,twin stick,1,
uniwars,UniWar S,,,no,,,,no,no,1980,Irem,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
uniwarsa,UniWar S [bl],,,yes,UniWar S,,,no,yes,1980,Irem,Shooter - Gallery,,vertical (cw),yes,15kHz,,2 (alternating),2-way horizontal,,1,
upndown,Up'n Down,,,no,,Sega System 1,,no,no,1983,Sega,Racing,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
upndown,Up'n Down (Japan) [315-5030],Japan,315-5030,yes,Up'n Down,Sega System 1,,no,no,1983,Sega,Racing,,vertical (ccw),no,15kHz,,2 (alternating),8-way,,1,
vanvan,Van-Van Car,,,no,,,,no,no,1983,Sanritsu,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
vanvank,"Van-Van Car (Karateco, Set 1)",,"Karateco, Set 1",yes,Van-Van Car,,,no,no,1983,Sanritsu / Karateco,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
vanvanb,"Van-Van Car (Karateco, Set 2)",,"Karateco, Set 2",yes,Van-Van Car,,,no,no,1983,Sanritsu / Karateco,Maze,,vertical (ccw),yes,15kHz,,2 (alternating),4-way,,1,
vautour,"Vautour (Phoenix, 8085A CPU) [bl]",,"Phoenix, 8085A CPU",yes,Phoenix,,,no,yes,1980,Tehkan,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
vautourza,"Vautour (Phoenix, Z80 CPU, Single PROM) [bl]",,"Phoenix, Z80 CPU, Single PROM",yes,Phoenix,,,no,yes,1980,Tehkan,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,2,
vectiped,Vectipede [hb],,,yes,Centipede,,,yes,no,1980,Atari,Shooter - Gallery,,vertical (ccw),no,15kHz,,1,,trackball,1,
vgalagaf,Vector Galaga (Fast Shoot) [hb],,Fast Shoot,yes,Galaga,,Galaxian,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
vgalagam,Vector Galaga (Midway) [hb],,Midway,yes,Galaga,,Galaxian,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
vgalaga,Vector Galaga [hb],,,yes,Galaga,,Galaxian,yes,no,1981,Namco / Midway,Shooter - Gallery,,vertical (cw),no,15kHz,,2 (alternating),2-way horizontal,,1,
vhangly,Vector Hangly-Man (Vector) [hb],,Vector,yes,Pac-Man,,Pac-Man,yes,no,1980,Nittoh,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vecbaby,Vector Pac-Man (Baby Maze 1) [hb],,Baby Maze 1,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vecbaby2,Vector Pac-Man (Baby Maze 2) [hb],,Baby Maze 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vecbaby3,Vector Pac-Man (Baby Maze 3) [hb],,Baby Maze 3,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacbell,Vector Pac-Man (Bell) [hb],,Bell,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vcrunchy,Vector Pac-Man (Crunchy) [hb],,Crunchy,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacelec,Vector Pac-Man (Electric Cowboy) [hb],,Electric Cowboy,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacjail,Vector Pac-Man (Jail) [hb],,Jail,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacmsa1,Vector Pac-Man (Ms. Pac-Man Attack 1) [hb],,Ms. Pac-Man Attack 1,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacmsa2,Vector Pac-Man (Ms. Pac-Man Attack 2) [hb],,Ms. Pac-Man Attack 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacmsa3,Vector Pac-Man (Ms. Pac-Man Attack 3) [hb],,Ms. Pac-Man Attack 3,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacmsa4,Vector Pac-Man (Ms. Pac-Man Attack 4) [hb],,Ms. Pac-Man Attack 4,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacms1,Vector Pac-Man (Ms. Pac-Man Maze 1) [hb],,Ms. Pac-Man Maze 1,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacms2,Vector Pac-Man (Ms. Pac-Man Maze 2) [hb],,Ms. Pac-Man Maze 2,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacms3,Vector Pac-Man (Ms. Pac-Man Maze 3) [hb],,Ms. Pac-Man Maze 3,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
vpacms4,Vector Pac-Man (Ms. Pac-Man Maze 4) [hb],,Ms. Pac-Man Maze 4,yes,Pac-Man,,Pac-Man,yes,no,1980,Namco / Midway,Maze,,vertical (cw),yes,15kHz,,2 (alternating),4-way,,0,
